timestamp_epoch_s,relative_time_s,attack_label,arbitration_id,dlc,payload_hex,semantic_label,source_component,decoded_speed_kmh,notes
1780532519.274539,0.001169,baseline,100,8,3C00A4061E564B00,engine_cluster_state,simulated_engine_cluster,60,engine_cluster_state
1780532519.274584,0.001215,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.274609,0.001240,baseline,188,8,00003C0000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.274642,0.001273,baseline,300,8,DA5FC25D55DF8FAD,background_noise,background_noise_generator,,background_noise
1780532519.324901,0.051532,baseline,100,8,3D00CF061E564B00,engine_cluster_state,simulated_engine_cluster,61,engine_cluster_state
1780532519.324956,0.051587,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.324977,0.051608,baseline,188,8,00003D0000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.375239,0.101870,baseline,100,8,3E00FA061E564B00,engine_cluster_state,simulated_engine_cluster,62,engine_cluster_state
1780532519.375308,0.101938,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.375373,0.102004,baseline,188,8,00003E0000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.425694,0.152325,baseline,100,8,3F0023071E564B00,engine_cluster_state,simulated_engine_cluster,63,engine_cluster_state
1780532519.425763,0.152394,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.425789,0.152420,baseline,188,8,00003F0000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.476037,0.202667,baseline,100,8,40004C071E564B00,engine_cluster_state,simulated_engine_cluster,64,engine_cluster_state
1780532519.476117,0.202748,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.476140,0.202771,baseline,188,8,0000400000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.526406,0.253037,baseline,100,8,410074071E564B00,engine_cluster_state,simulated_engine_cluster,65,engine_cluster_state
1780532519.526484,0.253115,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.526557,0.253188,baseline,188,8,0000410000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.526596,0.253227,baseline,300,8,5C0D8DF3F37D6AED,background_noise,background_noise_generator,,background_noise
1780532519.578645,0.305276,baseline,100,8,42009B071E564B00,engine_cluster_state,simulated_engine_cluster,66,engine_cluster_state
1780532519.578725,0.305356,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.578747,0.305378,baseline,188,8,0000420000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.628955,0.355586,baseline,100,8,4300C0071E564B00,engine_cluster_state,simulated_engine_cluster,67,engine_cluster_state
1780532519.629009,0.355640,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.629030,0.355661,baseline,188,8,0000430000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.679264,0.405895,baseline,100,8,4400E2071E564B00,engine_cluster_state,simulated_engine_cluster,68,engine_cluster_state
1780532519.679318,0.405949,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.679339,0.405970,baseline,188,8,0000440000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.729633,0.456264,baseline,100,8,450002081E564B00,engine_cluster_state,simulated_engine_cluster,69,engine_cluster_state
1780532519.729708,0.456339,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.729737,0.456368,baseline,188,8,0000450000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.780091,0.506722,baseline,100,8,46001F081E564B00,engine_cluster_state,simulated_engine_cluster,70,engine_cluster_state
1780532519.780148,0.506779,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.780201,0.506832,baseline,188,8,0000460000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.780234,0.506865,baseline,300,8,3D3FC94EB8E8E1F8,background_noise,background_noise_generator,,background_noise
1780532519.830543,0.557173,baseline,100,8,470039081E564B00,engine_cluster_state,simulated_engine_cluster,71,engine_cluster_state
1780532519.830600,0.557231,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.830624,0.557255,baseline,188,8,0000470000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.880866,0.607497,baseline,100,8,480051081E564B00,engine_cluster_state,simulated_engine_cluster,72,engine_cluster_state
1780532519.880927,0.607558,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.880951,0.607582,baseline,188,8,0000480000000000,display_speed,simulated_dashboard_display,,display_speed
1780532519.931187,0.657818,baseline,100,8,490065081E564B00,engine_cluster_state,simulated_engine_cluster,73,engine_cluster_state
1780532519.931258,0.657889,baseline,120,8,0000000000000000,body_status,simulated_body_status,,body_status
1780532519.931284,0.657915,baseline,188,8,0000490000000000,display_speed,simulated_dashboard_display,,display_speed
