timestamp_s,utc_iso,arbitration_id,dlc,data_hex,label,source,send_to_recv_latency_s,note
0.001639,2026-06-04T12:20:36.438366+00:00,166,8,D0 32 00 09 00 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000099,external_icsim_trace_replayed_on_python_can_virtual_bus
0.001722,2026-06-04T12:20:36.438440+00:00,158,8,00 00 00 00 00 00 00 0A,python_can_icsim_replay,012_python_can_icsim_replay,0.000030,external_icsim_trace_replayed_on_python_can_virtual_bus
0.001756,2026-06-04T12:20:36.438474+00:00,161,8,00 00 05 50 01 08 00 0D,python_can_icsim_replay,012_python_can_icsim_replay,0.000018,external_icsim_trace_replayed_on_python_can_virtual_bus
0.001803,2026-06-04T12:20:36.438522+00:00,191,8,01 00 90 A1 41 00 30 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000019,external_icsim_trace_replayed_on_python_can_virtual_bus
0.002148,2026-06-04T12:20:36.438867+00:00,18E,8,00 00 5C 00 00 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000026,external_icsim_trace_replayed_on_python_can_virtual_bus
0.002340,2026-06-04T12:20:36.439059+00:00,133,8,00 00 00 00 98 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000025,external_icsim_trace_replayed_on_python_can_virtual_bus
0.002593,2026-06-04T12:20:36.439312+00:00,136,8,00 02 00 00 00 00 00 1B,python_can_icsim_replay,012_python_can_icsim_replay,0.000026,external_icsim_trace_replayed_on_python_can_virtual_bus
0.002857,2026-06-04T12:20:36.439577+00:00,13A,8,00 00 00 00 00 00 00 19,python_can_icsim_replay,012_python_can_icsim_replay,0.000031,external_icsim_trace_replayed_on_python_can_virtual_bus
0.003105,2026-06-04T12:20:36.439825+00:00,13F,8,00 00 00 05 00 00 00 1F,python_can_icsim_replay,012_python_can_icsim_replay,0.000031,external_icsim_trace_replayed_on_python_can_virtual_bus
0.003347,2026-06-04T12:20:36.440067+00:00,164,8,00 00 C0 1A A8 00 00 31,python_can_icsim_replay,012_python_can_icsim_replay,0.000034,external_icsim_trace_replayed_on_python_can_virtual_bus
0.003590,2026-06-04T12:20:36.440310+00:00,17C,8,00 00 00 00 10 00 00 12,python_can_icsim_replay,012_python_can_icsim_replay,0.000037,external_icsim_trace_replayed_on_python_can_virtual_bus
0.004597,2026-06-04T12:20:36.441317+00:00,183,8,00 00 00 0E 00 00 10 1C,python_can_icsim_replay,012_python_can_icsim_replay,0.000040,external_icsim_trace_replayed_on_python_can_virtual_bus
0.005686,2026-06-04T12:20:36.442406+00:00,39,8,00 0C 00 00 00 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000100,external_icsim_trace_replayed_on_python_can_virtual_bus
0.005746,2026-06-04T12:20:36.442465+00:00,143,8,6B 6B 00 D1 00 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000033,external_icsim_trace_replayed_on_python_can_virtual_bus
0.007272,2026-06-04T12:20:36.443992+00:00,95,8,80 00 07 F4 00 00 00 08,python_can_icsim_replay,012_python_can_icsim_replay,0.000039,external_icsim_trace_replayed_on_python_can_virtual_bus
0.010204,2026-06-04T12:20:36.446928+00:00,166,8,D0 32 00 18 00 00 00 00,python_can_icsim_replay,012_python_can_icsim_replay,0.000072,external_icsim_trace_replayed_on_python_can_virtual_bus
0.011411,2026-06-04T12:20:36.448131+00:00,158,8,00 00 00 00 00 00 00 19,python_can_icsim_replay,012_python_can_icsim_replay,0.000037,external_icsim_trace_replayed_on_python_can_virtual_bus
