wall_ts,relative_s,phase,arbitration_id_hex,dlc,data_hex,note
1780532886.930067,0.001348,baseline,100,8,3C00A40626564B00,engine_cluster_state
1780532886.930111,0.001392,baseline,120,8,0000000000000000,body_status
1780532886.930137,0.001419,baseline,188,8,00003C0000000000,display_speed
1780532886.930173,0.001455,baseline,300,8,8225A11E7457B906,background_noise
1780532886.980584,0.051866,baseline,100,8,3C00A80626564B00,engine_cluster_state
1780532886.980634,0.051915,baseline,120,8,0000000000000000,body_status
1780532886.980654,0.051935,baseline,188,8,00003C0000000000,display_speed
1780532887.030976,0.102257,baseline,100,8,3C00AC0626564B00,engine_cluster_state
1780532887.031045,0.102327,baseline,120,8,0000000000000000,body_status
1780532887.031077,0.102358,baseline,188,8,00003C0000000000,display_speed
1780532887.081443,0.152724,baseline,100,8,3C00B10626564B00,engine_cluster_state
1780532887.081557,0.152838,baseline,120,8,0000000000000000,body_status
1780532887.081607,0.152888,baseline,188,8,00003C0000000000,display_speed
1780532887.131918,0.203200,baseline,100,8,3C00B50626564B00,engine_cluster_state
1780532887.131968,0.203250,baseline,120,8,0000000000000000,body_status
1780532887.131989,0.203270,baseline,188,8,00003C0000000000,display_speed
1780532887.182375,0.253656,baseline,100,8,3D00B90626564B00,engine_cluster_state
1780532887.182463,0.253744,baseline,120,8,0000000000000000,body_status
1780532887.182586,0.253868,baseline,188,8,00003D0000000000,display_speed
1780532887.232886,0.304168,baseline,100,8,3D00BE0626564B00,engine_cluster_state
1780532887.232976,0.304257,baseline,120,8,0000000000000000,body_status
1780532887.233013,0.304294,baseline,188,8,00003D0000000000,display_speed
1780532887.283377,0.354658,baseline,100,8,3D00C20626564B00,engine_cluster_state
1780532887.283447,0.354728,baseline,120,8,0000000000000000,body_status
1780532887.283474,0.354756,baseline,188,8,00003D0000000000,display_speed
1780532887.333756,0.405038,baseline,100,8,3D00C60627564B00,engine_cluster_state
1780532887.333825,0.405107,baseline,120,8,0000000000000000,body_status
1780532887.333855,0.405137,baseline,188,8,00003D0000000000,display_speed
1780532887.333898,0.405179,baseline,300,8,3EA7154315985FFE,background_noise
1780532887.384206,0.455487,baseline,100,8,3E00CB0627564B00,engine_cluster_state
1780532887.384266,0.455548,baseline,120,8,0000000000000000,body_status
1780532887.384289,0.455570,baseline,188,8,00003E0000000000,display_speed
1780532887.434695,0.505977,baseline,100,8,3E00CF0627564B00,engine_cluster_state
1780532887.434776,0.506057,baseline,120,8,0000000000000000,body_status
1780532887.434818,0.506099,baseline,188,8,00003E0000000000,display_speed
1780532887.485163,0.556444,baseline,100,8,3E00D30627564B00,engine_cluster_state
1780532887.485231,0.556513,baseline,120,8,0000000000000000,body_status
1780532887.485260,0.556541,baseline,188,8,00003E0000000000,display_speed
1780532887.535619,0.606900,baseline,100,8,3E00D70627564B00,engine_cluster_state
1780532887.535671,0.606952,baseline,120,8,0000000000000000,body_status
1780532887.535711,0.606993,baseline,188,8,00003E0000000000,display_speed
1780532887.585995,0.657276,baseline,100,8,3F00DC0627564B00,engine_cluster_state
1780532887.586066,0.657347,baseline,120,8,0000000000000000,body_status
1780532887.586100,0.657381,baseline,188,8,00003F0000000000,display_speed
1780532887.636453,0.707735,baseline,100,8,3F00E00627564B00,engine_cluster_state
1780532887.636573,0.707854,baseline,120,8,0000000000000000,body_status
1780532887.636607,0.707888,baseline,188,8,00003F0000000000,display_speed
1780532887.686873,0.758154,baseline,100,8,3F00E40628564B00,engine_cluster_state
1780532887.686974,0.758255,baseline,120,8,0000000000000000,body_status
1780532887.687010,0.758291,baseline,188,8,00003F0000000000,display_speed
1780532887.737268,0.808549,baseline,100,8,3F00E90628564B00,engine_cluster_state
1780532887.737410,0.808691,baseline,120,8,0000000000000000,body_status
1780532887.737474,0.808755,baseline,188,8,00003F0000000000,display_speed
1780532887.737556,0.808838,baseline,300,8,BAD9C2C6652111B3,background_noise
1780532887.787872,0.859153,baseline,100,8,3F00ED0628564B00,engine_cluster_state
1780532887.787946,0.859228,baseline,120,8,0000000000000000,body_status
1780532887.788003,0.859284,baseline,188,8,00003F0000000000,display_speed
1780532887.838291,0.909572,baseline,100,8,4000F10628564B00,engine_cluster_state
1780532887.838363,0.909645,baseline,120,8,0000000000000000,body_status
1780532887.838385,0.909666,baseline,188,8,0000400000000000,display_speed
1780532887.888661,0.959942,baseline,100,8,4000F60628564B00,engine_cluster_state
1780532887.888712,0.959994,baseline,120,8,0000000000000000,body_status
1780532887.888732,0.960014,baseline,188,8,0000400000000000,display_speed
1780532887.939074,1.010355,baseline,100,8,4000FA0628564B00,engine_cluster_state
1780532887.939172,1.010453,baseline,120,8,0000000000000000,body_status
1780532887.939241,1.010522,baseline,188,8,0000400000000000,display_speed
